"","x"
"103",11.0520227015846
"104",11.3077156581908
"105",11.025814824796
"106",11.2780275374785
"107",10.992760501242
"108",11.7513714705992
"109",11.2829069894032
"110",11.8240623334075
"111",11.1392535940552
"112",11.3407996244444
"113",11.3512910043322
"114",10.9919435913898
"115",11.3812055012108
"116",11.594237544663
"117",11.1860489867442
"118",11.0444009443463
"119",10.9928412426111
"120",11.0698907835948
"121",11.134156350432
"122",11.1698353649493
"123",11.0747039111751
"124",11.5082832837784
"125",11.2208011785432
"126",11.3796383340766
"127",11.2836455909453
"128",11.0788352661597
"129",11.3072907899222
"130",11.2352220632665
"131",11.1227700650522
"132",10.9951512543931
"133",11.0493403240206
"134",11.4258323417948
"135",11.3938447715142
"136",11.1913704873052
"137",11.0341344323823
"138",11.0962730804551
"139",11.8189358221331
"140",11.1338561882183
"141",11.3795170313495
"142",11.2534235351701
"143",11.0397909815819
"144",11.0065954480453
"145",11.0267029824455
"146",11.0051219858785
"147",11.7400910250296
"148",11.0236914998157
"149",11.6737586349877
"150",11.57956465109
"151",11.6657481079251
"152",11.1440798708363
"153",11.066551867084
"154",11.9280278180537
"155",11.0405582666231
"156",11.2743760455525
"157",11.1259105245764
"158",11.2155094321118
"159",11.5501564607022
"160",11.0575046230891
"161",11.108418960518
"162",11.0258395381752
"163",11.9264571482875
"164",10.994761029132
"165",11.516140730544
"166",11.0408097038202
"167",11.1381656265263
"168",11.1270531004266
"169",11.1998859812934
"170",11.0157631996078
"171",10.9922249720127
"172",10.9917606376311
"173",12.1204925179372
"174",11.0091691444678
"175",11.0149231960373
"176",10.9918247835526
"177",11.1889718451151
"178",11.1332913966419
"179",11.0028119552616
"180",11.2414817172386
"181",11.4292348845125
"182",11.101946305944
"183",11.0801471125987
"184",11.3383523440758
"185",11.1208179923749
"186",11.2359703892221
"187",11.6563693081775
"188",11.0064836357813
"189",11.1979150843924
"190",11.0015843064094
"191",11.0444152614819
"192",11.0043301435272
"193",11.2397654910056
"194",11.1199865923272
"195",11.2330203837631
"196",11.2848297840713
"197",11.0179817682249
"198",11.381568124701
"199",11.5051353689827
"200",11.4414653401151
"201",11.0307140665485
"202",11.0596805683086
"203",11.1973102697915
"204",11.0426431762621
"205",11.2390373573257
"206",11.0547293789329
"207",11.682129639697
"208",11.9830918597831
"209",11.9694791182205
"210",11.0190601861586
"211",11.2617327500901
"212",11.2093405906722
"213",11.4698227254112
"214",11.0458688908908
"215",11.0589727416045
"216",11.0584323529292
"217",11.0931454797625
"218",11.5067652122844
"219",11.6394660972167
"220",11.3107267902951
"221",11.0252715593864
"222",11.5381108186382
"223",11.3956029671135
"224",11.4433284903331
"225",11.9973844458855
"226",11.0369585933498
"227",11.4820903203939
"228",11.5245678473964
"229",11.4086206759356
"230",11.7001148116636
"231",11.321110054912
"232",11.0596679444322
"233",11.2282720841974
"234",11.4915389402612
"235",11.0984197489919
"236",11.0273086352606
"237",11.3248127950376
"238",11.3198384030343
"239",11.0144749247304
"240",11.4376047763114
"241",11.1439242363384
"242",11.1090548334292
"243",11.0615633667896
"244",11.017703728769
"245",11.2187168996577
"246",11.5094285570982
"247",11.322353804201
"248",11.3962726024517
"249",11.2925319520149
"250",11.3708059680753
"251",11.0186568674371
"252",11.9063896613495
"253",11.2708778273265
"254",11.4311653576844
"255",11.3562949820359
"256",10.9919422831733
"257",11.7314304798346
"258",11.5482200874973
"259",11.1222873913337
"260",11.4313439438181
"261",11.5916267786573
"262",11.7244677677997
"263",11.4172112237099
"264",11.1433964982054
"265",11.4143619371981
"266",11.125728095103
"267",11.7141619706811
"268",11.1704379408308
"269",11.0595734233909
"270",11.2742526167696
"271",11.3278463090387
"272",11.3217713950482
"273",11.0057830718071
"274",10.9936587657346
"275",11.2521610344646
"276",11.0166004909526
"277",10.9953588165442
"278",12.1642566009247
"279",11.8742070746722
"280",12.170019464161
"281",11.3257166385324
"282",12.1206264326025
"283",11.0980876721336
"284",11.0656679857417
"285",11.4225705267034
"286",11.0063053608154
"287",10.991817598123
"288",11.0641842907707
"289",11.0049134255107
"290",10.9923555288444
"291",11.1968369593955
"292",11.3355042359456
"293",11.5275710462977
